#品種,葉身ショ糖要求の品種係数,葉鞘ショ糖要求の品種係数,稈ショ糖要求の品種係数,根ショ糖要求の品種係数,胚乳ショ糖要求の品種補正,千粒重,,,1日当たりの窒素同化量の最大値,,,ショ糖消費量の係数,,,,
Cultivar,CoeffBreedLeafBlade,CoeffBreedLeafSheath,CoeffBreedCulm,CoeffBreedRootage,CoeffBreedEndosperm,ThousandGrainWeight,CoeffMaxNitrogenAssimilationByDayORG,CoeffMaxNitrogenAssimilationByDayRATE,CoeffMaxNitrogenAssimilationByDay,SumOfSucroseProductionTh,CoeffSucroseConsumption.ORG,CoeffSucroseConsumption,SumOfSoilTemperatureTh,,,
default,0.8,0.02,0.02,0.8,1.2,22,0.229645681,1,0.229645681,800,0.0375,0.006,400,,,
tsukiakari,0.8,0.02,0.02,0.8,1.2,24,0.250522561,0.75,0.187891921,700,0.0375,0.006,400,0.085395517,,
sasanishiki,0.8,0.02,0.02,0.8,1.2,23,0.240084121,1,0.240084121,800,0.0375,0.006,400,,,
koshihikari,0.8,0.02,0.02,0.8,1.2,22,0.229645681,1,0.229645681,800,0.0375,0.006,400,,,
nijinokirameki,0.8,0.02,0.02,0.8,1.2,24,0.250522561,0.9,0.225470305,800,0.0375,0.006,400,0.121993595,,
hoshijirushi,0.8,0.02,0.02,0.8,1.2,23,0.240084121,1,0.240084121,800,0.0375,0.006,400,,,
hitomebore,0.8,0.02,0.02,0.8,1.2,22.5,0.234864901,0.8,0.187891921,800,0.0375,0.006,400,,,
moeminori,0.8,0.02,0.02,0.8,1.2,24.5,0.255741781,0.8,0.204593425,800,0.0375,0.006,500,,,
sd1,0.8,0.016,0.02,0.8,1.2,23,0.240084121,1.1,0.288100945,800,0.0375,0.006,400,,,
sd2,0.8,0.016,0.02,0.8,1.2,22,0.229645681,1.1,0.252610249,800,0.0375,0.006,400,BASE,0.111827462,0.700000005
asahinoyume,0.8,0.016,0.02,0.8,1.2,23,0.240084121,1.5,0.360126182,960,0.0375,0.006,400,0.116910528,,
akitakomachi,0.8,0.02,0.02,0.8,1.2,22.5,0.234864901,1,0.234864901,800,0.0375,0.006,400,,,
nanatsuboshi,0.8,0.02,0.02,0.8,1.2,22,0.229645681,0.6,0.137787409,800,0.04125,0.006,400,,,
koisomeshi,0.8,0.02,0.02,0.8,1.2,24,0.250522561,1,0.250522561,800,0.0375,0.006,400,,,
momiroman,0.8,0.02,0.02,0.8,1.2,24,0.250522561,1,0.250522561,800,0.0375,0.006,400,,,
yamadawara,0.8,0.02,0.02,0.8,1.2,23.5,0.245303341,1.1,0.269833675,1040,0.0375,0.006,400,,,
konjikinoiro,0.8,0.02,0.02,0.8,1.2,23.5,0.245303341,1,0.245303341,800,0.0375,0.006,400,,,
morinokumasan,0.8,0.02,0.02,0.8,1.2,23,0.240084121,0.8,0.192067297,960,0.0375,0.006,400,,,
hinohikari,0.8,0.02,0.02,0.8,1.2,23,0.240084121,0.8,0.192067297,800,0.0375,0.006,400,,,