title,coeff0,coeff1,const,coeffBreed,select,japanese,unit,dbKey,discription,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
気象条件,,,,,,,,,,,,,
,,,,,1.0,日中気温(実績),℃,DaytimeTemperature,気象データから取得,,,,
,,,,,2.0,夜間気温(実績),℃,NighttimeTemperature,気象データから取得,,,,
,,,,,3.0,,,DiffTemperature,,,,,
,,,,,4.0,日射量(実測),Mj/m2,SolarRadiation,推測値しかない→直近の（１０時間前？）推定値を積算して仕様する。,,,,
,,,,,5.0,降雨(実績),mm,Rainfall,気象データから取得,,,,
,,,,,,湿度(実績),%,Humidity,推測値しかない,,,,
,,,,,,雲量(実績),％,,項目削除,,,,
,,,,,,日中気温(予測),℃,,とりあえず、0.8 x 予想最高気温 ＋ 0.2 x 予想最低気温,,,,
,,,,,,夜間気温(予測),℃,,とりあえず、0.2 x 予想最高気温 ＋ 0.8 x 予想最低気温,,,,
,,,,,,日射量(予測),Mj/m2,,気象データから取得,,,,
,,,,,,降雨(予測),mm,,降水確率　x 10mm,,,,
,,,,,,湿度(予測),%,,(降水確率 x 80%) + 20%,,,,
,,,,,,雲量(予測),％,,使わない,,,,
,,,,,1.0,,,AveDaytimeTemperature,,,,,
,,,,,2.0,,,AveNighttimeTemperature,,,,,
,,,,,4.0,,,AveSolarRadiation,,,,,
,,,,,3.0,,,AveDiffTemperature,,,,,
水収支,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,,入水,mm,SourceWater,使用しない,,,,
,,,,,,排水,mm,DrainWater,使用しない,,,,
,,,,,5.0,水面蒸発,mm,EvaporationFromWaterSurface,（０．０８７ x （２０-日中気温) x (1．０ー湿度）＋０．１１３ x （１．０ー湿度））x ２４,,,,
,0.1,,,,5.0,葉面蒸発,mm,EvaporationFromLeafSurface,係数 x 受光面積率 x 日射量,,,,
,,,,,,減水深,mm/day,WaterRequirementRate,1日あたりの水位減 (入力情報),,,,
,,,,,5.0,浸透,mm,Osmosis,減水深 - 水面蒸発,,,,
,,,,,,漏水,mm,,使用しない,,,,
,,,,,,,,,漏水は事故であり、漏水を前提として圃場はないので。,,,,
,,,,,,入水時刻,,TimeOfSourceWater,入力情報　　朝入水＝6時　夕方入水＝18時,,,,
,,,,,,,,,（朝入水で固定）,,,,
,,,,,,日中水深,mm,DaytimeWaterDepth,使用しない,,,,
,,,,,,夜間水深,mm,NighttimeWaterDepth,使用しない,,,,
,,,,,,日中水温,℃,DaytimeWaterTemperature,使用しない,,,,
,,,,,,用水温度,℃,TemperatureOfWaterForIrrigation,水源が川の場合:夜間気温ー3℃,,,,
,,,,,,,,,水源が地下水の場合:一定(15℃),,,,
,,,,,5.0,(早朝水深),mm,EarlyMorningWaterDepth,・前日の入水後水深ゼロの場合,,,,
,,,,,,,,,夜間平均気温,,,,
,,,,,,,,,・ゼロでない場合,,,,
,,,,,,,,,"Max(0, 前日の入水後水深 ー 減水深 ー 前日の葉面蒸発 ＋ 前日降雨量)",,,,
,,,,,,入水量,mm,VolumeOfSourceWater,"Max(0, 湛水 ー 早朝水深)",,,,
,,,,,5.0,入水後水深,mm,WaterDepthAfterWaterEntry,早朝水深 ＋ 入水量,,,,
,0.0495,,,,,(日中上昇温度),℃,IncreasingDaytimeTemperature,・入水後水深ゼロでない場合,,,,
,,,,,,,,,"Min(5, (係数x日射量)／(水比熱x入水後水深x 1000g/L))",,,,
,90000,,,,,(夜間下降温度),℃,DecreasingNighttimeTemperature,・前日の入水後水深ゼロでない場合,,,,
,,,,,,,,,"Min(5, (係数x (前日の夕方水温ー夜間平均気温))／(水比熱x前日の入水後水深x 1000g/L))",,,,
,,,,,6.0,(早朝水温),℃,EarlyMorningWaterTemperature,前日の夕方水温 ー 夜間降下温度,,,,
,,,,,,(入水後水温),℃,TemperatureAfterWaterEntry,・入水量ゼロの場合,,,,
,,,,,,,,,早朝水温,,,,
,,,,,,,,,・入水量ゼロでない場合,,,,
,,,,,,,,,(用水水温x入水量＋早朝水温x早朝水深)／(入水量＋早朝水深),,,,
,,,,,6.0,夕方水温,℃,EveningWaterTemperature,・前日入水後水深ゼロの場合,,,,
,,,,,,,,,日中平均気温,,,,
,,,,,,,,,・ゼロでない場合,,,,
,,,,,,,,,入水後水温 ＋ 日中上昇温度,,,,
,,,,,,夜間水温,℃,NighttimeWaterTemperature,・前日の入水後水深ゼロの場合,,,,
,,,,,,,,,夜間平均気温,,,,
,,,,,,,,,・前日の入水後水深ゼロでない場合,,,,
,,,,,,,,,(前日の夕方水温 ＋ 早朝水温)／２,,,,
肥料,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,7.0,無機肥料,g/m2,SnChemicalFertilizer,施肥日から　投入量/10 がNH4として供給 ,,,,
,,,,,,,,,N-P-K 10-10-10 で無機肥料率が2%の肥料を1袋/10a（20Kg)いれると、0.02x2kg/10aがNH4投入量となる,,,,
,,,,,7.0,被覆肥料,g/m2,SnCoatedFertilizer,•日数ごとの溶出量計算式(とりあえず，温度特性は無視),,,,
,,,,,,,,,f(DAY) = -{6/(溶出日数^3)}(DAY-溶出日数/2)(DAY-(3x溶出日数)/2),,,,
,,,,,,,,,•平米あたりの被覆肥料窒素重量計算,,,,
,,,,,,,,,基肥重量[kg/10a] x 被覆肥料割合 x (1000[g]/1000[㎡]),,,,
,,,,,,,,,•日数ごと㎡当たりの窒素溶出量,,,,
,,,,,,,,,窒素重量[g/㎡］x 日数ごとの溶出量,,,,
,,,,,7.0,有機肥料,g/m2,SnOrganicFertilizer,•日数ごとの溶出量計算式(とりあえず，温度特性は無視),,,,
,,,,,,,,,分解開始日と分解完了日は固定値とする,,,,
,,,,,,,,,f(DAY)=1/(-分解開始日^3/6+分解開始日 x 分解完了日^2/2+分解開始日^3/6-分解開始日^2 x 分解完了日/2),,,,
,,,,,,,,,•平米あたりの有機肥料窒素重量計算,,,,
,,,,,,,,,基肥重量[kg/10a] x 有機肥料割合 x (1000[g]/1000[㎡]),,,,
,,,,,,,,,•日数ごと㎡当たりの窒素溶出量,,,,
,,,,,,,,,窒素重量[g/㎡］x 日数ごとの溶出量,,,,
窒素収支,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,7.0,有機物分解,g/m2,SnOrganicDecomposition,•日数ごとの溶出量計算式(とりあえず，温度特性は無視),,,,
,,,,,,,,,分解開始日と分解完了日は牛糞、鶏糞、油かす、骨粉、等の種類により決定する,,,,
,,,,,,,,,f(DAY)=1/(-分解開始日^3/6+分解開始日 x 分解完了日^2/2+分解開始日^3/6-分解開始日^2 x 分解完了日/2),,,,
,,,,,,,,,•平米あたりの有機肥料窒素重量計算,,,,
,,,,,,,,,基肥重量[kg/10a] x 有機肥料割合 x (1000[g]/1000[㎡]),,,,
,,,,,,,,,•日数ごと㎡当たりの窒素溶出量,,,,
,,,,,,,,,窒素重量[g/㎡］x 日数ごとの溶出量,,,,
,,,,,7.0,用水供給,g/m2,SnWater,入水量（mm) x 用水窒素含有量 (用水の窒素含有量が、0.01ｍg/Lの場合、デフォルトで、○○mg/L）,,,,
,,,,,7.0,雨水供給,g/m2,SnRain,前日の雨水量 x 0.4mg,,,,
,,,,,,土壌窒素固定,g/m2,SoilNitrogenFixation,基本ゼロ,,,,
,,,,,,窒素供給量総和,g/m2,SnSum,無機肥料 + 被覆肥料 ＋ 有機肥料 ＋ 有機物分解 ＋ 用水供給 ＋ 雨水供給 + 土壌窒素固定,,,,
,,,,,8.0,土壌中窒素濃度,g/m2,SoilNitrogenConcentration,"MAX(0, 前日の土壌中窒素濃度 ー 前日の窒素同化 ー 前日の流亡 ー 前日の脱窒) ＋ 窒素供給量総和",,,,
,0.028,0.0112,,,12.0,窒素同化,g/m2,NitrogenAssimilation,MIN（係数 x 前日の根の表面積 x 土壌中窒素濃度、係数 x 前日のイネの総重量 x (1 - 赤色吸収率）,,,,
,,,,,80.0,,,SumOfNitrogenDistributionAmountOfLeafBlade,,,,,
,,,,,12.0,,,NitrogenTranslocationChoropalstBreakup,,,,,
,1,,1,,,窒素転流量,,NitrogenTranslocation,"MAX(0, 定数 - 係数(窒素同化量 / 総重量))",,,,
,0.0025,,,,7.0,流亡,g/m2,Loss,"MAX(0, 固定値x土壌中窒素濃度)",,,,
,0.005,,,,7.0,脱窒,g/m2,Denitrification,"MAX(0, (係数 x 水位 ＋落水加算) x 水中(土壌中)窒素濃度)",,,,
,0.15,,,,,,,IncVariableForSurfaceDrainage,落水加算＝,,,,
,-0.15,,,,,,,DecVariableForSurfaceDrainage,水位が０の場合は，前日の落水加算に定数を加算,,,,
,,,,,,,,,水位が０でない場合は，前日の落水加算から定数を減算(ただしマイナスにはならない),,,,
,,,,,60.0,土壌中酸素濃度,,SoilOxygenConcentration,,,,,
炭素収支,,,,,,,,,,,,,
,,,,,,,単位,dbKey,計算式,,,,
,0.9,,,,9.0,赤色光吸収率,%,RedAbsorptionRate,前日の葉身表面積がゼロ以上の場合,,,,
,,,,,,,,,係数 x (（窒素同化量 x 葉身窒素分配率）の累積）/ 前日の葉身表面積,,,,
,,,,,,,,,前日の葉身表面積がゼロの場合,,,,
,,,,,,,,,ゼロ,,,,
,,,,,9.0,受光面積率,%,EffectiveSunRayReceivingAreaRate,√（前日の葉身表面積）/　√（４．５）,,,,
,,,,,9.0,,,T19RedAbsorptionRate,,,,,
,,,,,9.0,,,T19EffectiveSunRayReceivingAreaRate,,,,,
,,,,,,有効日射量,Mj/m2,EffectiveSolarRadiation,0.27 x 日射量,,,,
,15,,,,10.0,炭素同化量,mol/m2,CarbonAssimilation,係数 x 有効日射量 x 赤色吸収率 x 受光面積率,,,,
,,,,,10.0,,,SucroseProductionTempTerm,,,,,
,14.85,2.7,,,10.0,ショ糖生成量,g/m2,SucroseProduction,MIN（（係数1 x 赤色吸収率 x 受光面積率 x 有効日射量）、（係数2 x 日中気温 x 受光面積率） ）,,,,
,,,,0.015,10.0,ショ糖消費量,g/m2,SucroseConsumption,係数 x MAX（０，夜間水温ー10℃） x 総重量,,,,
,,,,,10.0,ショ糖蓄積量,g/m2,SucroseAccumulation,ショ糖生成量ーショ糖消費量,,,,
,,,,,11.0,,,SumOfSucroseAccumulation,,,,,
,0.07200000000000001,,,,,ショ糖転流量,,SucroseTranslocation,,,,,
ショ糖要求,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,0.4,100.0,葉身,g/m2,RsLeafBlade,品種係数 x （1 - 受光面積率）x 前日の総重量,,,,
,,,,0.01,100.0,葉鞘,g/m2,RsLeafSheath,品種係数 x （1 - 受光面積率）x 前日の総重量,,,,0.65
,,,,0.1,100.0,稈,g/m2,RsCulm,品種係数 x （1 - 受光面積率）x 前日の総重量,,,,
,1,0.4,,0.8,100.0,根,g/m2,RsRootage,品種係数 x（係数 x (1- 赤色吸収率）- 窒素同化量）,,,,
,,,,,100.0,穂,g/m2,RsSpike,ゼロとする,,,,
,,0.5,,,100.0,籾,g/m2,RsRoughRice,幼穂分化日10日後から出穂後10日まで線形に1籾あたり0～3㎎まで線形に増える,,,,
,,,,,,,,,上記x籾数(籾数は幼穂分化期10日で決まる),,,,
,,,,1.2,100.0,胚乳,g/m2,RsEndosperm,出穂日以降~35日：品種補正 x （籾数 x 23mg /35days）,,,,
,-1,,,,,,,RsTranslocation,,,,,
,0.5,,,,,葉身代謝,g/m2,RsmLeafBlade,係数 x 前日の葉身重量,,,,
,0.5,,,,,葉鞘代謝,g/m2,RsmLeafSheath,係数 x 前日の葉鞘重量,,,,
,0.5,,,,,稈代謝,g/m2,RsmCulm,係数 x 前日の稈重量,,,,
,0.5,,,,,根代謝,g/m2,RsmRootage,係数 x 前日の根重量,,,,
,0.5,,,,,穂代謝,g/m2,RsmSpike,係数 x 窒素転流量,,,,
,0.5,,,,,籾代謝,g/m2,RsmRoughRice,係数 x 籾ショ糖要求量,,,,
,0.5,,,,,胚乳代謝,g/m2,RsmEndosperm,係数 x 胚乳ショ糖要求量,,,,
,,,,,,ショ糖要求量の総計,g/m2,RsSum,葉身＋葉鞘＋稈＋根＋穂＋籾＋胚乳＋葉身代謝＋葉鞘代謝＋稈代謝＋根代謝＋穂代謝＋籾代謝＋胚乳代謝,,,,
ショ糖分配率,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,,葉身,%,DsLeafBlade,葉身ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,葉鞘,%,DsLeafSheath,葉鞘ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,稈,%,DsCulm,稈ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,根,%,DsRootage,根ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,穂,%,DsSpike,穂ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,籾,%,DsRoughRice,籾ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,胚乳,%,DsEndosperm,胚乳ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,葉身代謝,%,DsmLeafBlade,葉身代謝ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,葉鞘代謝,%,DsmLeafSheath,葉鞘代謝ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,稈代謝,%,DsmCulm,稈代謝ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,根代謝,%,DsmRootage,根代謝ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,穂代謝,%,DsmSpike,穂代謝ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,籾代謝,%,DsmRoughRice,籾代謝ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,,胚乳代謝,%,DsmEndosperm,胚乳代謝ショ糖要求量 / ショ糖要求量の総計,,,,
,,,,,110.0,,,QsLeafBlade,,,,,
,,,,,110.0,,,QsLeafSheath,,,,,
,,,,,110.0,,,QsCulm,,,,,
,,,,,110.0,,,QsRootage,,,,,
,,,,,110.0,,,QsSpike,,,,,
,,,,,110.0,,,QsRoughRice,,,,,
,,,,,110.0,,,QsEndosperm,,,,,
(ショ糖)重量,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,1,,,,13.0,葉身,g/m2,WeightLeafBlade,前日の重量＋係数 x ショ糖蓄積量 x　葉身ショ糖分配率,,,,
,1,,,,13.0,葉鞘,g/m2,WeightLeafSheath,前日の重量＋係数 x ショ糖蓄積量 x　葉鞘ショ糖分配率,,,,
,1,,,,13.0,稈,g/m2,WeightCulm,前日の重量＋係数 x ショ糖蓄積量 x　稈ショ糖分配率,,,,
,1,,,,13.0,根,g/m2,WeightRootage,前日の重量＋係数 x ショ糖蓄積量 x　根ショ糖分配率,,,,
,1,,,,13.0,穂,g/m2,WeightSpike,前日の重量＋係数 x ショ糖蓄積量 x　穂ショ糖分配率,,,,
,1,,,,13.0,籾,g/m2,WeightRoughRice,前日の重量＋係数 x ショ糖蓄積量 x　籾ショ糖分配率,,,,
,1,,,,13.0,胚乳,g/m2,WeightEndosperm,前日の重量＋係数 x ショ糖蓄積量 x　胚乳ショ糖分配率,,,,
,,,,,13.0,総重量,g/m2,WeightTotal,葉身＋葉鞘＋稈＋根＋穂＋籾＋胚＋胚乳,,,,
形態,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,0.11,,,,80.0,葉身表面積,m2/m2,SurfaceAreaOfLeafBlade,係数 x 葉身重量の2/3乗,,,,
,0.1,,,,,根表面積,m2/m2,SurfaceAreaOfRootage,係数 x 根重量の2/3乗,,,,
,,,,,17.0,籾数,個/m2,NumberOfRoughRice,1穂あたり、一日当たりの減数量を積算する（幼穂分化日から10日間）→ ㎡に変換,,,,
,,,,5,,,,MinSucroseProductionByDay,固定値：,,,,
,,,,220,,,,MaxSucroseProductionByDay,1日のショ糖生成量最大値(CMAX)・ショ糖生成量最小値(CMIN)・窒素同化量最大値(NMAX)・MINの窒素同化量最小値(これらは、検討しながら変えられるように),,,,
,,,,0.0003,,,,MinNitrogenAssimilationByDay,"最大300粒,線形に最小数50粒まで減ると1日あたりの最大現数量は25粒(250/10)",,,,
,,,,0.48,,,,MaxNitrogenAssimilationByDay,計算方法:,,,,
,,,,,,,,,(ショ糖による減数量)=25*(当該日のショ糖生成量-CMIN)/(CMAX-CMIN),,,,
,,,,,,,,,(窒素同化による減数量)=25*(当該日の窒素同化量-CMIN)/(CMAX-CMIN),,,,
,,,,,,,,,"(当該日の減数量)=MAX{(ショ糖による減数量),(窒素同化による減数量)} ",,,,
,,,,,,,,,籾数 = {300-(10日間の減数量の積算)}* 25 * 18,,,,
,,,,,,,,,※株あたりの穂数：25(穂/株)　坪あたりの株数：60(株/坪) →㎡あたり18株,,,,
,1,1,,,,籾容積,mL/m2,VolumeOfRoughRice,係数 x 胚乳のショ糖重量 + 係数 x 窒素同化量 * 胚乳の窒素分配率,,,,
,,,,,,籾水分,g/m2,,今年は対象外,,,,
,,,,,,籾デンプン,g/m2,,今年は対象外,,,,
窒素要求量,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,200.0,葉身,g/m2,RnLeafBlade,(1 - 受光面積率）ｘ 葉身表面積,,,,
,0.0625,,,,200.0,葉鞘,g/m2,RnLeafSheath,係数(0.1~0.2) x 葉身要求量　ｘ（前日の葉鞘重量 / 前日の葉身重量）,,,,
,0.1,,,,200.0,稈,g/m2,RnCulm,係数(0.01 ~0.1) x 葉身要求量　ｘ（前日の葉鞘重量 / 前日の葉身重量）,,,,
,,,,,200.0,根,g/m2,RnRootage,ほぼゼロの定数とする,,,,
,5e-09,,,,200.0,穂,g/m2,RnSpike,係数 x（20 - 出穂日からの日数）x 籾数,,,,
,0.5,,,,200.0,胚,g/m2,RnRoughRice,係数 x (10 - 出穂日からの日数）ｘ 籾数,,,,
,0.01125,,,,200.0,胚乳,g/m2,RnEndosperm,1/40 x 23mg x 籾数,,,,
,1e-06,,,,200.0,,,RnTransformGrowthStage,,,,,
,1,,,,,,g/m2,RnChloroplastBreakup,,,,,
,,,,,,窒素要求の総計,g/m2,RnSum,葉身＋葉鞘＋稈＋根＋穂＋胚＋胚乳,,,,
窒素分配率,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,,,,,,葉身,%,DnLeafBlade,葉身窒素要求量 / 窒素要求量の総計,,,,
,,,,,,葉鞘,%,DnLeafSheath,葉鞘窒素要求量 / 窒素要求量の総計,,,,
,,,,,,稈,%,DnCulm,稈窒素要求量 / 窒素要求量の総計,,,,
,,,,,,根,%,DnRootage,根窒素要求量 / 窒素要求量の総計,,,,
,,,,,,穂,%,DnSpike,穂窒素要求量 / 窒素要求量の総計,,,,
,,,,,,胚,%,DnRoughRice,胚窒素要求量 / 窒素要求量の総計,,,,
,,,,,,胚乳,%,DnEndosperm,胚乳窒素要求量 / 窒素要求量の総計,,,,
,,,,,,,,DnChloroplastBreakup,,,,,
,,,,,250.0,,,QnLeafBlade,,,,,
,,,,,250.0,,,QnLeafSheath,,,,,
,,,,,250.0,,,QnCulm,,,,,
,,,,,250.0,,,QnRootage,,,,,
,,,,,250.0,,,QnSpike,,,,,
,,,,,250.0,,,QnRoughRice,,,,,
,,,,,250.0,,,QnEndosperm,,,,,
,,,,,250.0,,,QnTransformGrowthStage,,,,,
,,,,,,,,SumOfNitrogenDistributionAmountOfEndosperm,,,,,
玄米特性,,,,,,,,,,,,,
,coeff0,coeff1,const,coeffBreed,,,単位,dbKey,計算式,,,,
,1,,,,,くず米率,％,RiceScreeningsRate,MIN(1.0、係数 x (胚乳重量/籾数)/ 23mg）,,,,
,1,,,,,粗玄米重量,g/m2,WeightGrossBrownRice,係数 x 胚乳重量,,,,
,,,,,,精玄米重量,g/m2,WeightBrownRice,（１ーくず米率） x 粗玄米重量,,,,
,1,,,,,●乳白米率,％,MilkyWhiteRiceRate,係数 x (１日胚乳へのショ糖配分量の平均値からの偏差の平均値）,,,,
,,,,,,未熟粒,％,,今年は対象外,,,,
,,,,,,着色粒,％,,今年は対象外,,,,
,1,,,,,●タンパク質,％,Protein,係数 x (窒素の胚乳配分量 + 窒素の胚乳転流量) / (ショ糖の胚乳配分量）,,,,
,,,,,,,,SumOfNitrogenDistributionAmountOfEndosperm,,,,,
,1,,,,,●アミロース,％,Amylose,品種標準値 + 係数 x (幼穂形成期から20日間の夜間気温の平年気温からの偏差の平均値）,,,,
,,,,,,アミノペクチン,％,Amylopectin,1 - アミロース含有率,,,,
,,,,,,●水分率,％,Moisture,出穂後20日から、45% - (係数 x (100 - 出穂後の湿度)/100)の日別累積,,,,
